# wx wy wz  dvx dvy dvz  mag  devMax devMin  nfaces  mat  pNy nPar created weld
17.89808 0.00000 -66.97675  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  rooms::mirUV  0.000 1 1 0
17.89808 0.00000 -67.04003  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms::mirUV  0.000 1 1 0
17.89808 0.00000 -68.51456  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.89808 0.00000 -69.97011  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.89808 0.00000 -71.46995  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms::mirUV  0.000 1 1 0
17.89808 0.00000 -71.56487  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms::mirUV  0.000 1 1 0
17.89808 0.00000 -72.97612  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  rooms::mirUV  0.000 1 1 0
17.89808 0.00000 -73.03941  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms::mirUV  0.000 1 1 0
17.89808 0.00000 -74.38737  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.82452 0.20793 -66.97675  -0.073553 0.000000 0.000000  0.073553  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
17.83393 0.20793 -68.45128  -0.064142 0.000000 0.000000  0.064142  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
17.86746 0.20793 -68.51456  -0.030611 0.000000 0.000000  0.030611  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.86746 0.20793 -69.91315  -0.030611 0.000000 0.000000  0.030611  0.02 0.00  10  rooms::mirUV  0.000 1 1 0
17.83864 0.20794 -70.00808  -0.059435 0.000003 0.000000  0.059435  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.86746 0.20793 -70.06503  -0.030611 0.000000 0.000000  0.030611  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
17.86746 0.20793 -71.56487  -0.030611 0.000000 0.000000  0.030611  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
17.86747 0.20793 -72.91283  -0.030611 -0.000001 0.000000  0.030611  0.03 0.00  8  rooms::mirUV  0.000 1 1 0
17.82452 0.20793 -72.97612  -0.073553 0.000000 0.000000  0.073553  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
17.86746 0.20793 -74.51393  -0.030611 0.000000 0.000000  0.030611  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -66.29961  -0.100023 0.000000 0.000000  0.100023  0.03 0.00  5  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -66.35655  -0.100023 0.000004 0.000000  0.100023  0.03 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 0.25318 -66.91346  -0.100023 0.000046 0.000000  0.100023  0.03 0.00  5  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -68.38799  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -69.34358  -0.100023 0.000000 0.000000  0.100023  0.02 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -69.40687  -0.100023 0.000004 0.000000  0.100023  0.02 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -69.97011  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -70.00807  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 0.25308 -71.41299  -0.100023 -0.000055 0.000000  0.100023  0.03 0.00  5  rooms::mirUV  0.000 1 1 0
17.79805 0.25321 -71.46994  -0.100023 0.000073 0.000008  0.100023  0.08 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -71.50792  -0.100023 0.000000 0.000000  0.100023  0.04 0.00  5  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -72.35593  -0.100023 0.000000 0.000000  0.100023  0.03 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -72.91283  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -73.03941  -0.100023 0.000004 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 0.25313 -73.90640  -0.100023 -0.000004 0.000000  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 0.25314 -75.34296  -0.100023 0.000000 0.000000  0.100023  0.04 0.00  6  rooms::mirUV  0.000 1 1 0
17.82735 0.25314 -75.98325  -0.070728 0.000000 -0.070724  0.100022  45.00 45.00  4  rooms::mirUV  0.000 2 1 0
17.82923 0.30738 -66.35655  -0.068848 0.000000 0.000000  0.068848  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
17.86099 0.30738 -69.28030  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  9  rooms::mirUV  0.000 1 1 0
17.80511 0.30738 -70.83710  -0.092964 0.000000 0.000000  0.092964  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
17.86099 0.30738 -72.29897  -0.037083 0.000000 0.000000  0.037083  0.03 0.00  8  rooms::mirUV  0.000 1 1 0
17.86099 0.30738 -72.40656  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.82982 0.30738 -73.85577  -0.068258 0.000000 0.000000  0.068258  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.86805 1.68156 -67.79945  -0.030024 0.000000 0.000000  0.030024  0.00 0.00  9  rooms::mirUV  0.000 1 1 0
17.82982 1.68156 -67.85640  -0.068258 0.000000 0.000000  0.068258  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
17.87541 1.68156 -67.90703  -0.022671 -0.000001 0.000000  0.022671  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.81276 1.68156 -69.34359  -0.085318 -0.000003 0.000000  0.085318  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
