# mat  ax ay az  bx by bz  cx cy cz
rooms  2.78928 6.87113 3.66499  2.75773 6.84472 2.88922  2.61031 7.15485 2.91040
rooms  2.78928 6.87113 3.66499  2.61031 7.15485 2.91040  2.62899 7.16947 3.68402
rooms  2.75773 6.84472 2.88922  2.75329 6.84255 2.11769  2.60609 7.15279 2.13890
rooms  2.75773 6.84472 2.88922  2.60609 7.15279 2.13890  2.61031 7.15485 2.91040
rooms  2.75329 6.84255 2.11769  2.75456 6.84317 1.34616  2.60815 7.15380 1.36740
rooms  2.75329 6.84255 2.11769  2.60815 7.15380 1.36740  2.60609 7.15279 2.13890
rooms  2.75456 6.84317 1.34616  2.76180 6.84670 0.57464  2.60724 7.15335 0.59591
rooms  2.75456 6.84317 1.34616  2.60724 7.15335 0.59591  2.60815 7.15380 1.36740
rooms  2.76180 6.84670 0.57464  2.76090 6.84627 -0.19689  2.60612 7.15280 -0.17559
rooms  2.76180 6.84670 0.57464  2.60612 7.15280 -0.17559  2.60724 7.15335 0.59591
rooms  2.76090 6.84627 -0.19689  2.75350 6.84266 -0.96842  2.60612 7.15280 -0.17559
rooms  2.75350 6.84266 -0.96842  2.60397 7.15176 -0.94709  2.60612 7.15280 -0.17559
rooms  2.75350 6.84266 -0.96842  2.75773 6.84472 -1.73994  2.60997 7.15468 -1.71859
rooms  2.75350 6.84266 -0.96842  2.60997 7.15468 -1.71859  2.60397 7.15176 -0.94709
rooms  2.75773 6.84472 -1.73994  2.79552 6.86316 -2.51147  2.63211 7.16549 -2.49009
rooms  2.75773 6.84472 -1.73994  2.63211 7.16549 -2.49009  2.60997 7.15468 -1.71859
rooms  2.62899 7.16947 3.68402  2.61031 7.15485 2.91040  2.46870 7.46782 2.93158
rooms  2.62899 7.16947 3.68402  2.46870 7.46782 2.93158  2.46870 7.46782 3.70305
rooms  2.61031 7.15485 2.91040  2.60609 7.15279 2.13890  2.46870 7.46782 2.16011
rooms  2.61031 7.15485 2.91040  2.46870 7.46782 2.16011  2.46870 7.46782 2.93158
rooms  2.60609 7.15279 2.13890  2.60815 7.15380 1.36740  2.46870 7.46782 1.38864
rooms  2.60609 7.15279 2.13890  2.46870 7.46782 1.38864  2.46870 7.46782 2.16011
rooms  2.60815 7.15380 1.36740  2.60724 7.15335 0.59591  2.46870 7.46782 0.61717
rooms  2.60815 7.15380 1.36740  2.46870 7.46782 0.61717  2.46870 7.46782 1.38864
rooms  2.60724 7.15335 0.59591  2.60612 7.15280 -0.17559  2.46870 7.46782 -0.15429
rooms  2.60724 7.15335 0.59591  2.46870 7.46782 -0.15429  2.46870 7.46782 0.61717
rooms  2.60612 7.15280 -0.17559  2.60397 7.15176 -0.94709  2.46870 7.46782 -0.92576
rooms  2.60612 7.15280 -0.17559  2.46870 7.46782 -0.92576  2.46870 7.46782 -0.15429
rooms  2.60397 7.15176 -0.94709  2.60997 7.15468 -1.71859  2.46870 7.46782 -1.69723
rooms  2.60397 7.15176 -0.94709  2.46870 7.46782 -1.69723  2.46870 7.46782 -0.92576
rooms  2.60997 7.15468 -1.71859  2.63211 7.16549 -2.49009  2.46870 7.46782 -2.46870
rooms  2.60997 7.15468 -1.71859  2.46870 7.46782 -2.46870  2.46870 7.46782 -1.69723
rooms::mirUV  2.10707 6.33027 4.45775  2.46870 7.46782 3.70305  2.10707 7.46782 3.70305
rooms::mirUV  2.77596 7.66298 -5.10399  2.46870 6.85064 -4.93740  2.77125 7.05122 -5.10377
rooms::mirUV  2.77596 7.66298 -5.10399  2.46870 7.46782 -4.93740  2.46870 6.85064 -4.93740
rooms::mirUV  2.46870 7.46782 -4.93740  2.62233 7.56540 -5.02070  1.69723 7.55987 -5.02525
rooms::mirUV  2.62233 7.56540 -5.02070  2.77596 7.66298 -5.10399  1.85152 7.66016 -5.10240
rooms::mirUV  2.77596 7.66298 -5.10399  2.00582 7.79847 -5.13012  1.85152 7.66016 -5.10240
rooms  2.46870 7.46782 -4.93740  2.46870 7.46782 -3.70305  3.11970 6.26235 -3.79612
rooms  2.46870 7.46782 -3.70305  2.46870 7.46782 -2.46870  3.12234 6.25850 -2.55424
rooms::mirUV  -2.79009 6.86899 3.66905  -2.62940 7.16840 3.68605  -2.61031 7.15485 2.91040
rooms::mirUV  -2.79009 6.86899 3.66905  -2.61031 7.15485 2.91040  -2.75773 6.84472 2.88922
rooms::mirUV  -2.62940 7.16840 3.68605  -2.46870 7.46782 3.70305  -2.46870 7.46782 2.93158
