# x y z  nx ny nz   (pre-displacement Vertex::N = bake ride input)
-2.46870 0.00000 -4.93740  0.614938 0.773107 0.155424
-2.47115 5.49742 4.94799  0.207960 -0.386958 -0.898341
-2.46870 7.46782 -4.93740  0.393221 -0.914057 0.099386
-2.46870 0.00000 4.93740  0.176147 0.687405 -0.704590
2.46870 0.00000 -4.93740  -0.401384 0.910274 0.101449
2.47037 5.49847 4.94763  -0.141911 -0.476324 -0.867742
2.46870 7.46782 -4.93740  -0.605840 -0.780711 0.153125
2.46870 0.00000 4.93740  -0.120554 0.235228 -0.964435
-2.46870 0.00000 3.70305  0.281384 0.958824 -0.038478
-2.46870 7.46782 3.70305  0.315316 -0.873634 -0.370594
2.46870 7.46782 3.70305  -0.235236 -0.959778 -0.153268
2.46870 0.00000 3.70305  -0.396117 0.916601 -0.054167
-2.46870 2.53042 4.93740  0.282508 0.030877 -0.958768
-3.72814 2.51738 3.53862  0.969314 0.230693 -0.084925
-2.45331 2.53042 -4.94237  0.951685 -0.000000 -0.307076
2.46870 2.53042 4.93740  -0.229927 0.033718 -0.972624
3.72807 2.51802 3.54064  -0.968158 0.219360 -0.120631
2.45183 2.53042 -4.94284  -0.951685 0.000000 -0.307076
-3.73431 5.01669 3.54341  0.950049 -0.274002 -0.149435
-2.46870 4.99912 4.93740  0.135583 0.000000 -0.990766
-2.45209 4.99912 -4.94276  0.951685 -0.000000 -0.307076
3.73434 5.01785 3.54063  -0.950517 -0.291972 -0.106157
2.46870 4.99912 4.93740  -0.307287 0.000000 -0.951617
2.45465 4.99912 -4.94193  -0.951685 0.000000 -0.307076
-3.67968 2.52907 -2.64056  0.970710 0.207967 0.120298
-3.65667 4.99659 -2.63762  0.980733 -0.148338 0.127120
-2.46870 7.46782 -2.46870  0.372968 -0.927844 0.000000
3.67967 2.52921 -2.64082  -0.969327 0.185964 0.160692
3.65664 4.99636 -2.63821  -0.982453 -0.161943 0.092519
2.46870 7.46782 -2.46870  -0.449407 -0.893327 0.000000
-2.46870 0.00000 -2.46870  0.458305 0.888795 0.000000
2.46870 0.00000 -2.46870  -0.380953 0.924594 0.000000
-3.38212 4.49303 -0.16417  -0.000000 0.110431 -0.993884
-3.38212 4.07089 -0.21107  0.000000 0.157441 -0.987528
-3.38212 3.85981 -0.28143  0.000000 0.072268 -0.997385
-3.38212 3.48457 -0.25798  0.000000 -0.252788 -0.967522
-3.38212 3.29695 -0.16417  -0.032547 -0.182811 -0.982609
-3.38212 3.08588 -0.16417  0.052678 0.000000 -0.998612
-3.43999 4.49303 -0.15501  -0.249128 0.110230 -0.962177
-3.45452 4.07089 -0.19961  -0.308422 0.189966 -0.932089
-3.47633 3.85981 -0.26650  -0.353294 0.074817 -0.932516
-3.46906 3.48457 -0.24420  -0.278212 -0.190940 -0.941350
-3.43999 3.29695 -0.15501  -0.291530 -0.246628 -0.924221
-3.43999 3.08588 -0.15501  -0.258480 -0.000000 -0.966017
-3.49234 4.49303 -0.12835  -0.584180 0.110439 -0.804075
-3.51993 4.07089 -0.16628  -0.552564 0.206900 -0.807382
-3.56131 3.85981 -0.22318  -0.599647 0.110143 -0.792649
-3.54752 3.48457 -0.20422  -0.581568 -0.145617 -0.800358
-3.49234 3.29695 -0.12835  -0.579625 -0.285899 -0.763083
-3.49234 3.08588 -0.12835  -0.544237 -0.000000 -0.838931
-3.53392 4.49303 -0.08677  -0.838125 0.110237 -0.534223
-3.57186 4.07089 -0.11436  -0.776990 0.206672 -0.594620
-3.62876 3.85981 -0.15574  -0.786354 0.047415 -0.615954
-3.60979 3.48457 -0.14195  -0.809297 -0.190973 -0.555489
-3.53392 3.29695 -0.08677  -0.817074 -0.246227 -0.521309
-3.53392 3.08588 -0.08677  -0.776912 0.000000 -0.629609
-3.56058 4.49303 -0.03441  -0.962177 0.110230 -0.249127
-3.60518 4.07089 -0.04895  -0.932088 0.189965 -0.308423
-3.67207 3.85981 -0.07076  -0.932516 0.074817 -0.353295
-3.64977 3.48457 -0.06349  -0.941350 -0.190939 -0.278213
-3.56058 3.29695 -0.03441  -0.938141 -0.246324 -0.243344
-3.56058 3.08588 -0.03441  -0.933443 0.000000 -0.358727
-3.56974 4.49303 0.02345  -0.993884 0.110432 0.000000
-3.61665 4.07089 0.02345  -0.987528 0.157441 -0.000000
-3.68700 3.85981 0.02345  -0.997385 0.072268 -0.000000
-3.66355 3.48457 0.02345  -0.967522 -0.252788 0.000000
-3.56974 3.29695 0.02345  -0.982609 -0.182811 0.032546
-3.56974 3.08588 0.02345  -0.998612 0.000000 -0.052676
-3.56058 4.49303 0.08132  -0.962177 0.110230 0.249127
-3.60518 4.07089 0.09586  -0.932088 0.189965 0.308423
-3.67207 3.85981 0.11767  -0.932516 0.074817 0.353295
-3.64977 3.48457 0.11040  -0.941350 -0.190939 0.278213
-3.56058 3.29695 0.08132  -0.924221 -0.246628 0.291529
-3.56058 3.08588 0.08132  -0.966017 -0.000000 0.258477
-3.53392 4.49303 0.13367  -0.804075 0.110439 0.584180
-3.57186 4.07089 0.16126  -0.788420 0.224113 0.572858
-3.62876 3.85981 0.20265  -0.786354 0.047415 0.615954
-3.60979 3.48457 0.18885  -0.809297 -0.190973 0.555489
-3.53392 3.29695 0.13367  -0.788897 -0.246605 0.562874
-3.53392 3.08588 0.13367  -0.838931 -0.000000 0.544238
-3.49234 4.49303 0.17526  -0.534224 0.110236 0.838125
-3.51993 4.07089 0.21319  -0.581378 0.189958 0.791148
-3.56131 3.85981 0.27009  -0.599647 0.110143 0.792649
-3.54752 3.48457 0.25112  -0.581568 -0.145617 0.800358
-3.49234 3.29695 0.17526  -0.546600 -0.285933 0.787065
-3.49234 3.08588 0.17526  -0.629612 -0.000000 0.776910
-3.43999 4.49303 0.20192  -0.249128 0.110230 0.962177
-3.45452 4.07089 0.24651  -0.308422 0.189966 0.932089
-3.47633 3.85981 0.31340  -0.353294 0.074817 0.932516
-3.46906 3.48457 0.29111  -0.278212 -0.190940 0.941350
-3.43999 3.29695 0.20192  -0.243346 -0.246324 0.938140
-3.43999 3.08588 0.20192  -0.358726 -0.000000 0.933443
-3.38212 4.49303 0.21107  -0.000000 0.110431 0.993884
-3.38212 4.07089 0.25798  -0.000000 0.157441 0.987528
-3.38212 3.85981 0.32834  0.000000 0.072268 0.997385
-3.38212 3.48457 0.30488  0.000000 -0.252788 0.967522
-3.38212 3.29695 0.21107  0.032547 -0.182811 0.982609
-3.38212 3.08588 0.21107  -0.052678 -0.000000 0.998612
-3.32425 4.49303 0.20192  0.249127 0.110230 0.962177
-3.30971 4.07089 0.24651  0.308421 0.189966 0.932089
