t,frame_med,frame_p5,frame_p95,shadow_p95,gbuffer_p95,lighting_p95,tonemap_p95,mirror_p95,tessf_p95,mirror2_p95
0,5.0050,4.8709,5.1301,0.5708,1.4171,2.2517,2.8102,1.9510,0.0221,1.9811
100,5.4082,5.2199,5.5428,0.5336,1.6249,2.4225,3.0351,2.2209,0.0208,1.9551
200,5.1116,4.9422,5.3135,0.5754,1.4662,2.4276,3.1331,2.3427,0.0194,
300,5.7997,5.6482,5.9768,0.5539,1.8344,2.6949,3.7363,2.1424,0.0188,1.6822
400,5.4853,5.3121,5.6412,0.5499,1.9414,2.7588,3.3780,2.2812,0.0190,1.7494
500,5.7278,5.5634,5.9117,0.5469,1.9736,2.8116,3.6283,2.3343,0.0186,1.7968
600,4.7281,4.5685,4.8640,0.5464,1.3377,2.2305,2.7261,2.1944,0.0180,
700,4.6276,4.4820,4.7974,0.5704,0.8676,1.8243,2.6353,1.7583,0.0182,
800,4.9016,4.8042,5.0743,0.5481,1.0781,2.0177,2.9828,1.9508,0.0182,
900,4.9494,4.7883,5.0792,0.5695,1.2135,2.1660,2.9347,2.0697,0.0524,
1000,5.5731,5.4488,5.7199,0.5420,1.7589,2.5520,3.4459,2.5766,0.0199,2.6968
1100,5.9650,5.8075,6.1596,0.5624,2.1122,2.8452,3.7305,2.8103,0.0321,2.9146
1200,5.8213,5.6720,5.9649,0.5807,2.0120,2.8284,3.6063,2.7553,0.0199,2.8685
1300,5.6564,5.4623,5.8012,0.5507,1.8658,2.6270,3.4509,2.6201,0.0262,2.7124
1400,6.0643,5.8995,6.2291,0.5536,1.8135,2.6246,3.9185,2.5438,0.0279,2.6522
1500,5.6061,5.4094,5.7589,0.5225,1.8493,2.6347,3.4315,2.5737,0.0187,2.7075
1600,5.7154,5.5637,5.8662,0.5630,1.8296,2.6242,3.5060,2.6107,0.0241,2.7347
1700,6.1529,5.9911,6.2824,0.5439,1.7824,2.5968,3.9965,2.5353,0.0276,2.6590
1800,5.6694,5.4677,5.8190,0.5383,1.8092,2.6189,3.5014,2.6209,0.0240,2.7124
1900,5.6899,5.5321,5.8297,0.5509,1.8533,2.6278,3.5038,2.6097,0.0188,2.7078
